scenario,description,max_turnover,buffer_multiplier,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost,mean_actual_stock_count
tc50_buf3,"max_turnover=50%, buffer=3x",0.5,3.0,0.8312839076345003,0.23416271116794407,0.19465909334408105,0.7564343784475004,-0.21846644494886064,-0.22263753228327,0.8786144880970238,0.915948148690291,0.03731666063813279,0.22103244137204386,0.39901703206701944,112.52270210409746
tc50_buf2,"max_turnover=50%, buffer=2x",0.5,2.0,0.8266730159980731,0.2339003871370836,0.1896098609244894,0.7576999050160411,-0.21578543822489216,-0.21978855087744276,0.877157004031454,0.9163775834785736,0.03637140938477154,0.21858643580600776,0.3962756529527036,112.30601698043559
tc50_buf4,"max_turnover=50%, buffer=4x",0.5,4.0,0.8262294189836136,0.2350128673467424,0.19717593852078852,0.7617610281416466,-0.2222179029554936,-0.2263377353609315,0.8714252812382218,0.9123791141170491,0.03531759195427561,0.21642712753161722,0.39853364901757804,113.54558877814692
tc30_buf4,"max_turnover=30%, buffer=4x",0.3,4.0,0.7891741568916085,0.22484726454597612,0.1950610270587947,0.7158395742401784,-0.22655484966845402,-0.2355656495178069,0.8602726720776813,0.9396555919033227,0.02057401211998748,0.21952272347376836,0.24788914812079998,109.41638981173865
tc40_buf4,"max_turnover=40%, buffer=4x",0.4,4.0,0.7699660102236288,0.22353389273606294,0.19100456618756434,0.7090629944022651,-0.22107313149568936,-0.2241830536430377,0.868132043923135,0.9258076750488892,0.028294808290288687,0.21848764291205983,0.32507284951849397,111.32742709486895
tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,0.7626917263627684,0.2236536421047789,0.18294826768227557,0.713001140912695,-0.21923169908062862,-0.22207919668888265,0.8722896792437993,0.9290801772036704,0.029225133909273098,0.2186397588512062,0.3211489557126626,110.515688445921
tc60_buf3,"max_turnover=60%, buffer=3x",0.6,3.0,0.7322295161835172,0.22908026501743603,0.18083369924882686,0.7447771892139725,-0.21774943179306427,-0.22967779370879504,0.88320574680682,0.9055013032667545,0.04507429123348047,0.23327383203824265,0.46728978170661406,114.03691399040235
tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,0.7237016535320802,0.21793434702515765,0.18596565987165525,0.692414653657419,-0.22606500444377137,-0.22891532969744477,0.8681696529441589,0.9265279328316376,0.028215938388664947,0.21132119873048844,0.3231953771092974,111.24510889627169
tc60_buf4,"max_turnover=60%, buffer=4x",0.6,4.0,0.7203969078134843,0.22546627591401436,0.17958786856824527,0.7322866635005043,-0.21424837708310596,-0.22675883043425182,0.8826402573264219,0.9049012886442063,0.04490903880337264,0.23148541762927463,0.4679268266197161,114.21299372462164
tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,0.7197969290849899,0.22072641676583643,0.19237246971375477,0.700309561758295,-0.24230649920732336,-0.25094063834561076,0.859860916998255,0.940362105185126,0.020763282821679455,0.21661649396915456,0.24556859945888831,109.12218530823182
tc50_buf1p5,"max_turnover=50%, buffer=1.5x",0.5,1.5,0.7157397730484708,0.21886472152883368,0.17776297550211373,0.7059652535072642,-0.21953520735974041,-0.22265156177284773,0.8783365552404362,0.9176031556282523,0.03666603459545474,0.21168609582715764,0.39472187734949726,112.01661129568106
tc60_buf1p5,"max_turnover=60%, buffer=1.5x",0.6,1.5,0.7142138011614708,0.2246642364355877,0.17763144570335676,0.7322356187419486,-0.21530976499307927,-0.22541994246999986,0.8851335100536787,0.9076586290157128,0.04529486417573202,0.2318277545393541,0.46523760072014064,113.46031746031746
tc60_buf2,"max_turnover=60%, buffer=2x",0.6,2.0,0.6862450795349181,0.22170106995405922,0.17344845732717218,0.7197209101685411,-0.21735718568168766,-0.2273207116455408,0.8872174823922866,0.9078476444227661,0.046621435652187466,0.22943515535086395,0.46711943816835394,113.33554817275747
tc40_buf1p5,"max_turnover=40%, buffer=1.5x",0.4,1.5,0.6801783146513871,0.21577209927301425,0.17575849204573846,0.6895257102778072,-0.2221256923463355,-0.2294208008841262,0.873755230999181,0.9303597808763797,0.029617766125207407,0.22893882422817208,0.31957273967859556,110.08637873754154
tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,0.647414578933013,0.2106767181762872,0.17926303873456617,0.6637751467718164,-0.23690135775249846,-0.2432503009611212,0.8632208644271542,0.942609495734927,0.021276960674822255,0.2195654260980721,0.24322305050813803,108.48689553340716
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,0.6331518547834685,0.20952834425850467,0.18812001821144242,0.6655222584593568,-0.2561694285615766,-0.26817254250509215,0.8538002264107146,0.9570353959104801,0.013689146684889438,0.21621819452474378,0.16861251721861367,106.41269841269842
tc30_buf1p5,"max_turnover=30%, buffer=1.5x",0.3,1.5,0.5377867410373703,0.19903016650601862,0.17128769079902195,0.6329372148225509,-0.24016481241359885,-0.24543574701234916,0.8613917588179851,0.9428862833417399,0.02066408500863562,0.22903393452759793,0.24130884580104783,108.45071982281284
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,0.5184545993176879,0.19450560574859274,0.17145184041133543,0.616530281242608,-0.25263092979476237,-0.26867922101582853,0.8391884359970596,0.9550685717197128,0.01191515698811424,0.2010746278887849,0.1646062856158096,106.81432262827612
tc20_buf4,"max_turnover=20%, buffer=4x",0.2,4.0,0.4821248589191871,0.1950609384195836,0.17694623260048203,0.615018657484886,-0.2564815056578395,-0.26425873492484087,0.8324435610177101,0.9514301700315069,0.012620566904321819,0.2203336196175881,0.16771066962868397,107.15873015873017
baseline,原始策略,,,0.3759690889214643,0.1943458479267569,0.12532340723385738,0.6265746994323931,-0.2194913748352793,-0.23399288252028783,0.9005042533533855,0.8917258084022875,0.06857518469840881,0.2269723393210087,0.5999332494600821,113.71207087486157
tc20_buf1p5,"max_turnover=20%, buffer=1.5x",0.2,1.5,0.263316116862611,0.16992349724665579,0.1508034786927317,0.5306497577413827,-0.26736769496894053,-0.27784613282060555,0.8226546213870655,0.9520672154344909,0.011625145305710047,0.1999326952051776,0.16101083176642703,106.6703580657069
