月份,交易次数,月度收益率,月度胜率
2020-02,2,5.39%,50.00%
2020-03,5,0.60%,60.00%
2020-04,4,0.57%,75.00%
2020-05,4,5.47%,50.00%
2020-06,5,10.30%,80.00%
2020-07,4,3.47%,50.00%
2020-08,5,5.84%,80.00%
2020-09,4,-3.90%,50.00%
2020-10,4,-0.01%,50.00%
2020-11,5,2.13%,40.00%
2020-12,4,3.93%,50.00%
2021-01,4,-4.56%,25.00%
2021-02,4,10.68%,100.00%
2021-03,5,6.75%,80.00%
2021-04,4,3.74%,50.00%
2021-05,5,3.20%,60.00%
2021-06,4,5.40%,75.00%
2021-07,4,1.58%,50.00%
2021-08,5,12.20%,80.00%
2021-09,4,2.61%,50.00%
2021-10,4,-1.89%,50.00%
2021-11,5,10.19%,80.00%
2021-12,4,8.42%,75.00%
2022-01,4,-7.58%,0.00%
2022-02,4,4.15%,75.00%
2022-03,4,3.80%,75.00%
2022-04,4,-7.30%,50.00%
2022-05,5,11.72%,60.00%
2022-06,4,4.23%,75.00%
2022-07,4,6.00%,75.00%
2022-08,5,6.25%,80.00%
2022-09,4,-8.72%,25.00%
2022-10,4,9.24%,75.00%
2022-11,4,1.55%,50.00%
2022-12,4,-4.01%,25.00%
2023-01,4,6.28%,75.00%
2023-02,4,2.29%,50.00%
2023-03,4,0.21%,50.00%
2023-04,4,2.65%,50.00%
2023-05,5,5.36%,60.00%
2023-06,4,-1.93%,75.00%
2023-07,5,3.11%,60.00%
2023-08,4,-0.93%,25.00%
2023-09,4,-2.20%,50.00%
2023-10,4,1.61%,50.00%
2023-11,4,6.11%,75.00%
2023-12,4,-2.85%,25.00%
2024-01,5,-15.25%,40.00%
2024-02,3,20.19%,100.00%
2024-03,4,8.90%,75.00%
2024-04,5,-2.60%,60.00%
2024-05,4,-7.16%,25.00%
2024-06,4,-4.46%,50.00%
2024-07,5,-0.93%,40.00%
2024-08,4,-0.43%,50.00%
2024-09,5,40.99%,60.00%
2024-10,4,-5.74%,50.00%
2024-11,4,10.68%,75.00%
2024-12,5,-11.92%,60.00%
2025-01,4,6.43%,25.00%
2025-02,4,3.67%,75.00%
2025-03,5,-8.84%,40.00%
2025-04,4,18.41%,100.00%
2025-05,4,6.29%,75.00%
2025-06,5,8.18%,60.00%
2025-07,4,11.05%,100.00%
2025-08,4,12.93%,100.00%
2025-09,5,5.40%,80.00%
2025-10,4,-0.21%,50.00%
2025-11,4,1.00%,75.00%
2025-12,4,3.80%,75.00%
