bucket_factor,bucket,periods,avg_bucket_weight,total_actual_contribution,total_style_contribution,total_residual_contribution,avg_residual_contribution,pct_of_bucket_factor_residual
BETA,Q1低暴露,254,0.18995230379306083,0.2510531716389878,0.1348724324355073,0.11618073920348052,0.0004574044850530729,0.10929315204935026
BETA,Q2,298,0.213675119616249,0.3652719587242409,0.1924730430322743,0.17279891569196656,0.0005798621331945187,0.16255481154761997
BETA,Q3,301,0.20868322981734833,0.40379557664343774,0.21371017743608745,0.19008539920735032,0.0006315129541772436,0.17881649385570453
BETA,Q4,300,0.23161837386417655,0.5969131501077533,0.3471907153907192,0.24972243471703398,0.0008324081157234466,0.23491804420233114
BETA,Q5高暴露,275,0.20646459947871115,0.704099672286692,0.3698677767719932,0.33423189551469884,0.0012153887109625412,0.31441749834499416
LIQUIDITY,Q1低暴露,291,0.1588717904146901,0.43504265208985493,0.2082650197649283,0.22677763232492662,0.0007793045784361739,0.21333348729749982
LIQUIDITY,Q2,301,0.22319493894738907,0.5283560147391263,0.4285444601612072,0.09981155457791918,0.000331599849096077,0.09389438805050865
LIQUIDITY,Q3,301,0.2632544853943824,0.6115582835185452,0.40260983070926687,0.2089484528092784,0.0006941809063431176,0.19656128184349522
LIQUIDITY,Q4,301,0.2518875302453361,0.5856757899797692,0.26982288374374386,0.3158529062360254,0.0010493452034419449,0.2971280777102246
LIQUIDITY,Q5高暴露,290,0.11216857123657185,0.16050078907381596,-0.051128049312564705,0.2116288383863807,0.0007297546151254507,0.1990827650982717
RESVOL,Q1低暴露,287,0.19135013043497032,0.28897727041513843,0.26701570245674255,0.021961567958395874,7.652114271218074e-05,0.020659611933741193
RESVOL,Q2,301,0.2574607390379559,0.5267149380744197,0.3319882573716801,0.19472668070273963,0.0006469324940290354,0.18318262448679817
RESVOL,Q3,301,0.23043619150616448,0.5509463488619863,0.25896405674268624,0.2919822921193001,0.0009700408376056482,0.2746725943309928
RESVOL,Q4,301,0.21943427839376056,0.5229435776906096,0.24520404532063303,0.2777395323699766,0.0009227226989035768,0.26127419354995746
RESVOL,Q5高暴露,283,0.11722904125392718,0.4315513943589576,0.1549420831748396,0.276609311184118,0.0009774180607212651,0.2602109756985105
SIZE,Q1低暴露,277,0.3628084956567063,1.0363443237627743,0.6504214771643589,0.3859228465984153,0.0013932232729184668,0.363044035024827
SIZE,Q2,297,0.21785287999834052,0.45214984501529726,0.296225337772618,0.15592450724267923,0.0005249983408844418,0.14668077510203714
SIZE,Q3,291,0.1717955662583147,0.33413825464961044,0.1727558654576946,0.16138238919191583,0.0005545786570168928,0.15181509535025475
SIZE,Q4,257,0.1679454357032393,0.257789499976048,0.05976121287219707,0.19802828710385093,0.0007705380821161514,0.1862885004941093
SIZE,Q5高暴露,229,0.18622381915582165,0.24071160599738184,0.07895025179971288,0.161761354197669,0.0007063814593784672,0.1521715940287717
