factor,periods,signal_hit_rate,signal_exposure_alignment_rate,exposure_hit_rate,positive_contribution_rate,signal_direction_factor_return_sum,signal_weighted_factor_return_sum,exposure_direction_factor_return_sum,raw_factor_return_sum,total_contribution,avg_signal,avg_abs_signal,avg_exposure,avg_abs_exposure,avg_factor_return
LIQUIDITY,301,0.8637873754152824,0.8737541528239202,0.7774086378737541,0.7774086378737541,2.3743805698686127,2.124346343871861,1.6574312230386377,-2.5967960133744157,0.458616897944715,-0.8449612403100775,0.8693244739756366,-0.21799419218468186,0.27075410957220747,-0.008627229280313673
TOPSI,301,0.5714285714285714,0.5481727574750831,0.4717607973421927,0.4717607973421927,0.45326493826972725,0.20519540545272544,-0.5034195388665405,0.15926756038896916,-0.118048994005472,0.014396456256921345,0.654485049833887,0.011174541895296087,0.2635014674263357,0.0005291281076045488
BETA,301,0.53156146179402,0.7906976744186046,0.5614617940199336,0.5614617940199336,0.4036501907535045,0.188515365018544,0.5536084471158013,0.5834276917973237,0.227315873280509,0.15171650055370983,0.6478405315614618,0.0492280072829727,0.44633702285880844,0.0019382979793931018
SIZE,301,0.5681063122923588,0.8504983388704319,0.5647840531561462,0.5647840531561462,0.31425256470665164,0.27714140862761477,0.31748602752521493,-0.41347344403631014,0.2322319573933031,-0.3023255813953488,0.6611295681063123,-0.264814634178676,0.6073797727290468,-0.0013736659270309308
STOQ,301,0.5647840531561462,0.5880398671096345,0.46511627906976744,0.46511627906976744,0.2506115230813808,0.182508719535439,-0.1829983173001115,0.5120605291239042,-0.09259716955576497,0.2137320044296788,0.6500553709856035,-0.1383854579815836,0.3101428481882314,0.0017011977711757615
ROE,301,0.5813953488372093,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.21928043234320072,0.15039335468209086,0.044030148325055585,-0.13260125325865535,0.044771626940618106,-0.13621262458471764,0.64562569213732,0.013404508795803557,0.47647430411870273,-0.0004405357251118118
RESMOM,301,0.5614617940199336,0.5614617940199336,0.5282392026578073,0.5282392026578073,0.17911148065144822,0.19545429805042858,0.40736456716298064,0.5402297858952416,0.11068934082758831,0.16943521594684383,0.6611295681063123,-0.009325643767476586,0.26950620425908983,0.0017947833418446566
MLEV,301,0.4983388704318937,0.3953488372093023,0.4850498338870432,0.4850498338870432,0.14343640915588396,0.15754870197664816,-0.08427140079367024,0.01657074753908261,-0.0455347097279392,-0.005537098560354414,0.64562569213732,-0.12454695012587642,0.2370764615677939,5.505231740559006e-05
MIDCAP,301,0.5780730897009967,0.9269102990033222,0.5647840531561462,0.5647840531561462,0.11961369788825138,0.09592530273542564,0.1332994176512845,0.18872809648668043,0.10659027727123932,0.2425249169435216,0.6434108527131782,0.29644676430973327,0.6270866634679932,0.0006270036428128918
MOMENTUM,301,0.5049833887043189,0.8239202657807309,0.5282392026578073,0.5282392026578073,0.11917358132531153,0.0957445213505418,0.19580723855285742,-0.33749879776776337,0.024881110559032513,-0.23366555924695462,0.6124031007751938,-0.1733388764744592,0.34172625783926297,-0.0011212584643447289
BLEV,301,0.5448504983388704,0.7242524916943521,0.5016611295681063,0.5016611295681063,0.11587051816467231,0.08374142721165218,-0.051746543843997794,0.09369542736696024,0.011948514901751826,-0.0055370985603543955,0.6301218161683277,-0.1021407716831849,0.2597186312217406,0.00031128048959123
RESVOL,301,0.5448504983388704,0.6046511627906976,0.5415282392026578,0.5415282392026578,0.11460211874945903,0.18695001790663623,0.48437816328494643,-0.645089731982343,0.20102307637667877,-0.1295681063122924,0.6168327796234773,-0.15266391585373235,0.33884934005028783,-0.0021431552557552923
ROA,301,0.5282392026578073,0.6810631229235881,0.4684385382059801,0.4684385382059801,0.11101572019647565,0.09333510149049402,-0.06406401942713247,0.10256680825184383,0.00186699368553081,0.04540420819490585,0.619047619047619,0.0007074341538350023,0.4914883619057365,0.0003407535157868566
SEASON,301,0.5348837209302325,0.8770764119601329,0.5249169435215947,0.5249169435215947,0.10473029506133114,0.0973483740791837,0.08469433871813092,0.05909440577016789,0.05731651303106644,-0.08748615725359915,0.6500553709856034,0.009172818975729278,0.3890425052924213,0.00019632692946899632
CAPX,301,0.5714285714285714,0.9136212624584718,0.584717607973422,0.584717607973422,0.08608428446290495,0.07257016404125101,0.1043877069177851,0.01716269260710812,0.10253931458316679,0.10520487264673307,0.6411960132890364,0.20273236852125803,0.5999818631988052,5.7018912315973827e-05
CFP,301,0.584717607973422,0.8903654485049833,0.5813953488372093,0.5813953488372093,0.06320458209135815,0.057837887625035056,0.049125005807131195,0.07363114830954365,0.042605744427416534,0.21816168327796231,0.6566998892580288,0.2075021421944559,0.4696868514178331,0.00024462175518120814
EYIELD,301,0.5614617940199336,0.8073089700996677,0.5149501661129569,0.5149501661129569,0.061016755800297195,0.0583738369346262,0.02992818035499334,0.05108816752991174,0.03545499000242916,0.1273532668881506,0.6367663344407529,0.08570982262212705,0.5979001908564218,0.00016972813132861043
LP,301,0.5614617940199336,0.8073089700996677,0.5149501661129569,0.5149501661129569,0.06101675580029464,0.05837383693462446,0.029928180354990563,0.05108816752991363,0.03545499000242697,0.1273532668881506,0.6367663344407529,0.08570982262212705,0.5979001908564218,0.00016972813132861672
BTOP,301,0.5249169435215947,0.8272425249169435,0.5116279069767442,0.5116279069767442,0.05079298364018536,0.034114950696219296,0.028180189432642,-0.04473021636477459,0.03020978893853099,-0.12292358803986715,0.6124031007751938,0.07240246772613361,0.47819153831923433,-0.00014860536998263983
SP,301,0.5548172757475083,0.7508305647840532,0.4850498338870432,0.4850498338870432,0.041352786197933145,0.013790510458573041,-0.040384227007977835,0.06505947603327933,-0.025281466975923296,0.15836101882613507,0.6124031007751938,0.15033385815398465,0.46413391806586446,0.00021614443864876852
SGRO,301,0.5348837209302325,0.8106312292358804,0.5116279069767442,0.5116279069767442,0.03200544501892222,0.03729122273563731,0.04108263388655953,-0.023711407109135108,0.014477278716620341,-0.05647840531561464,0.619047619047619,0.04506082527256252,0.49059685926136765,-7.877543890078109e-05
EGRO,301,0.53156146179402,0.7009966777408638,0.4850498338870432,0.4850498338870432,0.0244999882907887,0.03369971928046707,-0.023226285141179415,0.09065156089189019,0.021300863100301097,0.2624584717607973,0.6256921373200443,0.1359644577758907,0.3693396271043548,0.00030116797638501724
AGRO,301,0.5249169435215947,0.9003322259136213,0.5049833887043189,0.5049833887043189,0.0024242211954664805,0.008189248378003236,-0.007409038316216088,0.007240538721944634,0.023030531315083345,0.012181616832779607,0.6035437430786269,0.050735094342504644,0.48428060140959317,2.405494592008184e-05
STOM,301,0.5149501661129569,0.5780730897009967,0.49169435215946844,0.49169435215946844,-0.05348668672271806,-0.08584760712427449,-0.02880800906410197,0.3423761536112465,-0.001305781938328976,0.14064230343300108,0.610188261351052,-0.15865407999554623,0.28453574658477043,0.0011374623043563007
HISTVOL,301,0.5149501661129569,0.5016611295681063,0.4418604651162791,0.4418604651162791,-0.12892465793214614,0.09803516346670232,-0.8621977832003715,0.4162194532940693,-0.2413091797443549,0.0299003322259136,0.6301218161683276,-0.10584085984319237,0.36660212993421987,0.0013827888813756455
