scenario,cost_model,capital,fixed_cost_bps,impact_coef_bps,year,weeks,annual_return,annual_cost_arithmetic,annual_fixed_cost_arithmetic,annual_impact_cost_arithmetic,win_rate,max_drawdown
realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,2020,46,0.28679285571423163,0.07390470913003351,0.06746000000000005,0.006444709130033494,0.5652173913043478,-0.11553441704899015
realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,2021,52,0.5985700849848978,0.0872669097842634,0.07894000000000007,0.008326909784263361,0.6538461538461539,-0.08112934531387306
realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,2022,50,0.08106769617718412,0.08802657959779732,0.07932000000000004,0.00870657959779727,0.54,-0.11499632178553298
realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,2023,50,0.10774545031543492,0.08761221920655975,0.07854000000000005,0.00907221920655968,0.5,-0.128350676824739
realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,2024,52,0.11784848555175675,0.09131430762052468,0.08284000000000005,0.008474307620524634,0.5576923076923077,-0.20347152981812588
realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,2025,51,0.742281980168852,0.08343264412794309,0.07684000000000005,0.0065926441279430485,0.7058823529411765,-0.13207695409668896
realistic_10bp_cap3000w,double_side_build_impact,30000000,10,25,2020,46,0.2807257950171784,0.07862256365322107,0.06746000000000005,0.011162563653221031,0.5652173913043478,-0.11567491617686487
realistic_10bp_cap3000w,double_side_build_impact,30000000,10,25,2021,52,0.5888376082396474,0.0933626308163866,0.07894000000000007,0.014422630816386546,0.6538461538461539,-0.08177715936138386
realistic_10bp_cap3000w,double_side_build_impact,30000000,10,25,2022,50,0.07418625148854763,0.09440023822352754,0.07932000000000004,0.015080238223527477,0.54,-0.11646263431819603
realistic_10bp_cap3000w,double_side_build_impact,30000000,10,25,2023,50,0.10039923831445718,0.09425354460316362,0.07854000000000005,0.015713544603163574,0.5,-0.12965050881514173
realistic_10bp_cap3000w,double_side_build_impact,30000000,10,25,2024,52,0.11092230719953933,0.09751793135771683,0.08284000000000005,0.014677931357716785,0.5576923076923077,-0.2063047376018351
realistic_10bp_cap3000w,double_side_build_impact,30000000,10,25,2025,51,0.7338788656152329,0.08825879458581802,0.07684000000000005,0.011418794585817975,0.7058823529411765,-0.13246633169673938
realistic_10bp_cap10000w,double_side_build_impact,100000000,10,25,2020,46,0.26895289506969267,0.08783995970818817,0.06746000000000005,0.02037995970818811,0.5652173913043478,-0.11594938093189
realistic_10bp_cap10000w,double_side_build_impact,100000000,10,25,2021,52,0.569990008059676,0.1052720007890136,0.07894000000000007,0.026332000789013533,0.6153846153846154,-0.0831240900300213
realistic_10bp_cap10000w,double_side_build_impact,100000000,10,25,2022,50,0.060865250571737306,0.10685262215859216,0.07932000000000004,0.027532622158592104,0.54,-0.11932093154842494
realistic_10bp_cap10000w,double_side_build_impact,100000000,10,25,2023,50,0.08618409232347757,0.10722887612505423,0.07854000000000005,0.028688876125054174,0.5,-0.1321849622518957
realistic_10bp_cap10000w,double_side_build_impact,100000000,10,25,2024,52,0.09751139649404084,0.10963811367377975,0.08284000000000005,0.026798113673779704,0.5576923076923077,-0.21181227814432924
realistic_10bp_cap10000w,double_side_build_impact,100000000,10,25,2025,51,0.7175756983742474,0.0976877712472346,0.07684000000000005,0.02084777124723455,0.7058823529411765,-0.13322665036560544
realistic_10bp_cap30000w,double_side_build_impact,300000000,10,25,2020,46,0.25012097255207144,0.10275912567078845,0.06746000000000005,0.0352991256707884,0.5652173913043478,-0.11639353635139904
realistic_10bp_cap30000w,double_side_build_impact,300000000,10,25,2021,52,0.5399461355865485,0.12454836323151526,0.07894000000000007,0.045608363231515195,0.5961538461538461,-0.08575270900476617
realistic_10bp_cap30000w,double_side_build_impact,300000000,10,25,2022,50,0.039645868146599206,0.12700790044427826,0.07932000000000004,0.04768790044427822,0.5,-0.12392923363635233
realistic_10bp_cap30000w,double_side_build_impact,300000000,10,25,2023,50,0.06355569505889758,0.12823059106064363,0.07854000000000005,0.049690591060643566,0.5,-0.13647013244836814
realistic_10bp_cap30000w,double_side_build_impact,300000000,10,25,2024,52,0.07613964270745566,0.1292556944299928,0.08284000000000005,0.04641569442999272,0.5576923076923077,-0.22064937325945788
realistic_10bp_cap30000w,double_side_build_impact,300000000,10,25,2025,51,0.6915047943145469,0.11294939902478388,0.07684000000000005,0.036109399024783814,0.7058823529411765,-0.1344561202828568
realistic_10bp_cap50000w,double_side_build_impact,500000000,10,25,2020,46,0.23731407879923805,0.11303097528621545,0.06746000000000005,0.04557097528621539,0.5652173913043478,-0.11669927285843229
realistic_10bp_cap50000w,double_side_build_impact,500000000,10,25,2021,52,0.5195886630269413,0.1378201437478124,0.07894000000000007,0.05888014374781235,0.5961538461538461,-0.0875588558704925
realistic_10bp_cap50000w,double_side_build_impact,500000000,10,25,2022,50,0.025278324182401946,0.140884814745429,0.07932000000000004,0.06156481474542896,0.5,-0.12708908662819607
realistic_10bp_cap50000w,double_side_build_impact,500000000,10,25,2023,50,0.04824494482078645,0.14269027721369196,0.07854000000000005,0.06415027721369189,0.5,-0.14093496426860963
realistic_10bp_cap50000w,double_side_build_impact,500000000,10,25,2024,52,0.061662440135590524,0.14276240384333808,0.08284000000000005,0.05992240384333805,0.5576923076923077,-0.2266785757572526
realistic_10bp_cap50000w,double_side_build_impact,500000000,10,25,2025,51,0.6737803591565841,0.12345703368818209,0.07684000000000005,0.04661703368818203,0.6862745098039216,-0.1353017685692608
