cost_bps,turnover_multiplier,year,weeks,annual_return,annual_cost_arithmetic,win_rate,max_drawdown
0,1.0,2020,46,0.3855810673613267,0.0,0.5869565217391305,-0.11245139774163404
0,1.0,2021,52,0.7444734784445037,0.0,0.6538461538461539,-0.07449689821302619
0,1.0,2022,50,0.18063878403707512,0.0,0.56,-0.09745550787608792
0,1.0,2023,50,0.20927138521445032,0.0,0.54,-0.11227862589036386
0,1.0,2024,52,0.22483094195411368,0.0,0.5576923076923077,-0.16992924027712908
0,1.0,2025,51,0.8940158947185466,0.0,0.7058823529411765,-0.12358188864242459
5,1.0,2020,46,0.36274548291109365,0.016614999999999998,0.5869565217391305,-0.11317460407261659
5,1.0,2021,52,0.7103771119839601,0.019735000000000003,0.6538461538461539,-0.07506600219440562
5,1.0,2022,50,0.15745263885236382,0.019829999999999997,0.56,-0.09913848243244516
5,1.0,2023,50,0.18575422907427863,0.019635000000000003,0.54,-0.11587173732028144
5,1.0,2024,52,0.19972045322971077,0.020710000000000003,0.5576923076923077,-0.17571614674101887
5,1.0,2025,51,0.8579721142233545,0.01921,0.7058823529411765,-0.12557824402440687
10,1.0,2020,46,0.34027768629584876,0.033229999999999996,0.5869565217391305,-0.11389751884388344
10,1.0,2021,52,0.6769340872905796,0.039470000000000005,0.6538461538461539,-0.07625730131559594
10,1.0,2022,50,0.1347126530911107,0.039659999999999994,0.56,-0.10377762772820154
10,1.0,2023,50,0.16268519492624223,0.039270000000000006,0.52,-0.11945168016995233
10,1.0,2024,52,0.17511475607559523,0.041420000000000005,0.5576923076923077,-0.18374739920754313
10,1.0,2025,51,0.8226005639481604,0.03842,0.7058823529411765,-0.12757084730580648
20,1.0,2020,46,0.29642240241002704,0.06645999999999999,0.5652173913043478,-0.11534247370726969
20,1.0,2021,52,0.6119592147805752,0.07894000000000001,0.6538461538461539,-0.0802438179770747
20,1.0,2022,50,0.09053768093233883,0.07931999999999999,0.54,-0.1129896672268561
20,1.0,2023,50,0.11785819232715378,0.07854000000000001,0.5,-0.12657223304818876
20,1.0,2024,52,0.1273781418776585,0.08284000000000001,0.5576923076923077,-0.1995856688557568
20,1.0,2025,51,0.7538252455920516,0.07684,0.7058823529411765,-0.13154481988170474
30,1.0,2020,46,0.25396998792319203,0.09969000000000001,0.5652173913043478,-0.11678626233179235
30,1.0,2021,52,0.5494533965223349,0.11840999999999999,0.6153846153846154,-0.08438932890113526
30,1.0,2022,50,0.04804844439766742,0.11898000000000002,0.5,-0.12211401680898626
30,1.0,2023,50,0.07472528855500293,0.11781000000000001,0.5,-0.13364062910808028
30,1.0,2024,52,0.08154380876210632,0.12426,0.5576923076923077,-0.21512939077775028
30,1.0,2025,51,0.6875942970806856,0.11525999999999999,0.7058823529411765,-0.13550385093834572
50,1.0,2020,46,0.17309971234769628,0.16615000000000002,0.5434782608695652,-0.11967034086424755
50,1.0,2021,52,0.43148435312295286,0.19735,0.5769230769230769,-0.09405625105812487
50,1.0,2022,50,-0.03212263119748615,0.19829999999999998,0.48,-0.14010271377664996
50,1.0,2023,50,-0.006706868711461644,0.19635000000000002,0.5,-0.15477672630691997
50,1.0,2024,52,-0.0047124978869174106,0.20710000000000003,0.5384615384615384,-0.24535406309464303
50,1.0,2025,51,0.5623997926267152,0.1921,0.6666666666666666,-0.1433772662756423
100,1.0,2020,46,-0.0074361156219054925,0.33230000000000004,0.5,-0.162985179365001
100,1.0,2021,52,0.17372803600658893,0.3947,0.5384615384615384,-0.11784548868008227
100,1.0,2022,50,-0.20718944995428368,0.39659999999999995,0.46,-0.2022296374841437
100,1.0,2023,50,-0.18476291844688952,0.39270000000000005,0.42,-0.2488514127334126
100,1.0,2024,52,-0.19193100955595133,0.41420000000000007,0.4807692307692308,-0.31611724745978076
100,1.0,2025,51,0.2878699337612536,0.3842,0.5882352941176471,-0.16280242892952668
